"nursery","mean_max_temp_1yr","mean_max_temp_2yr","mean_max_temp_3yr","mean_max_temp_4yr","mean_max_temp_5yr","mean_max_temp_6yr","mean_max_temp_7yr"
"adelaide advanced ",18.41,18.9454545454545,19.2852941176471,19.45,19.3706896551724,19.2771428571429,19.2134146341463
"adelaide tree farm",20.33,20.9045454545455,21.1441176470588,21.0847826086957,20.8948275862069,20.7557142857143,20.8
"alpine",23.54,23.5227272727273,23.6941176470588,23.845652173913,23.6775862068966,23.5628571428571,23.5426829268293
"andreasens",23.87,23.7772727272727,23.9705882352941,24.1217391304348,23.9810344827586,23.89,23.8256097560976
"arborwest",23.96,25.5090909090909,25.8352941176471,26.0086956521739,26.0413793103448,26.0542857142857,26.0939024390244
"benara",23.88,25.2045454545455,25.4852941176471,25.6260869565217,25.7051724137931,25.7871428571429,25.8621951219512
"cleveland",20.33,20.9045454545455,21.1441176470588,21.0847826086957,20.8948275862069,20.7557142857143,20.8
"darwin plant wholesalers",35.37,35.1,34.9235294117647,34.9195652173913,34.8310344827586,34.5514285714286,34.5158536585366
"ellenby tree farm",23.96,25.5090909090909,25.8352941176471,26.0086956521739,26.0413793103448,26.0542857142857,26.0939024390244
"established tree transplanters",20.06,20.6,20.8911764705882,20.9826086956522,20.8103448275862,20.6814285714286,20.6378048780488
"flemings",16.11,16.4954545454545,16.8294117647059,16.945652173913,16.8051724137931,16.6657142857143,16.4939024390244
"freshford",18.15,18.8181818181818,19.1852941176471,19.3608695652174,19.3120689655172,19.2242857142857,19.1756097560976
"greenstock",25.35,25.2181818181818,25.2970588235294,25.2586956521739,25.151724137931,25.0714285714286,25.0219512195122
"heynes",22.03,22.7090909090909,23.0617647058824,23.204347826087,23.1741379310345,23.1128571428571,23.0463414634146
"ibrox",26.96,26.8636363636364,27.0558823529412,27.0326086956522,26.9327586206897,26.787323943662,26.6168674698795
"mangrove mountain",22.22,22.1818181818182,22.3235294117647,22.4739130434783,22.3465517241379,22.1857142857143,22.0975609756098
"manor",20.33,20.9045454545455,21.1441176470588,21.0847826086957,20.8948275862069,20.7557142857143,20.8
"mt william",16.48,17.2727272727273,17.6176470588235,17.6695652173913,17.4931034482759,17.2628571428571,17.1280487804878
"pallara",26.96,26.8636363636364,27.0558823529412,27.0326086956522,26.9327586206897,26.7342857142857,26.569512195122
"speciality",16.11,16.4954545454545,16.8294117647059,16.945652173913,16.8051724137931,16.6657142857143,16.4939024390244
"trees impact",23.75,23.6909090909091,23.75,23.8847826086957,23.7413793103448,23.6671428571429,23.6512195121951
