"species","nursery","batch_id","volume","treenumb","crown_length","branchper30","crown_spread","crown_ratio","climate_region","genus_species","variety","origin","leaf_type"
"acer_freemanii","freshford","AF_100",100,7,264.4,7,148,0.00573445379035257,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","cleveland","AF_35",35,1,186.7,4,92,0.002215870018332,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","AF_200",200,7,240,5,212,0.011766311685245,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","cleveland","AF_35",35,2,193.5,5,126,0.0041563270806993,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","cleveland","AF_35",35,4,209.4,6,136,0.00484224147673307,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","AF_40",40,10,161,9,100,0.00261799387799149,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","AF_100",100,6,244,9,152,0.00604861305571155,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","AF_20",20,8,180.7,5,100,0.00261799387799149,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","AF_100",100,4,250.5,5,130,0.00442440965380563,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","AF_100",100,3,235.5,9,112,0.00328401152055253,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","AF_40",40,9,172.5,7,148,0.00573445379035257,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","AF_100",100,5,257.2,4,100,0.00261799387799149,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","cleveland","AF_35",35,3,178.8,5,104,0.0028316221784356,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","AF_200",200,8,257.8,6,176,0.00810949783646645,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","AF_200",200,6,244.6,5,118,0.00364529467571536,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","AF_200",200,4,274.2,4,182,0.00867184292145902,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","AF_20",20,10,221.5,2,74,0.00143361344758814,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","AF_200",200,2,222.3,5,142,0.00527892285558205,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","cleveland","AF_35",35,10,231.8,5,98,0.00251432132042303,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","AF_100",100,1,228.3,8,206,0.0111097188206447,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","AF_40",40,8,170.3,8,114,0.00340234484383775,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","AF_200",200,3,243.5,6,156,0.0063711499014801,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","AF_40",40,6,170.3,10,118,0.00364529467571536,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","cleveland","AF_35",35,8,227,4,96,0.00241274315795696,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","cleveland","AF_35",35,9,219,3,136,0.00484224147673307,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","AF_200",200,1,196.3,8,194,0.00985308175920879,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","AF_100",100,2,230,10,142,0.00527892285558205,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","AF_40",40,5,166.8,6,100,0.00261799387799149,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","AF_40",40,7,170.3,7,154,0.00620883428104463,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","AF_200",200,5,279.1,5,176,0.00810949783646645,"South Australia","acer_freemanii",NA,"non-native","deciduous"
"acer_freemanii","freshford","AF_40",40,3,164,10,126,0.0041563270806993,"South Australia","acer_freemanii",NA,"non-native","deciduous"
