batch_id,species,volume,treenumb,canopy_top,canopy_bottom,branchper30,maxbranchradius,leafarea1,leafarea2,leafarea3,leafmass1,leafmass2,leafmass3
AF_18,agonis_flexuosa,18,1,232.5,27,8,57,13.3,19.2,8.6,,,
AF_18,agonis_flexuosa,18,2,198.3,29,9,54,6.7,8.5,13.1,,,
AF_18,agonis_flexuosa,18,3,176.5,45,9,43,5.2,6.5,15.2,,,
AF_18,agonis_flexuosa,18,4,140.3,28,7,60,8.9,11.9,12.6,,,
AF_18,agonis_flexuosa,18,5,167,37,10,36,24.2,16,18.3,,,
AF_18,agonis_flexuosa,18,6,203,39,7,50,15.9,10.1,17.1,,,
AF_18,agonis_flexuosa,18,7,140.3,29,10,42,8.8,17.9,10.1,,,
AC_27,angophora_costata,27,1,153.4,25,9,53,39.5,29.4,31.9,0.73,0.62,0.55
AC_27,angophora_costata,27,2,103.1,37,10,54,21.7,29.1,22.6,0.37,0.52,0.39
AC_27,angophora_costata,27,3,149.2,26,5,58,40.4,26.8,33.1,0.66,0.42,0.54
AC_27,angophora_costata,27,4,137.4,31,13,57,28.1,25.4,36.7,0.46,0.47,0.6
AC_27,angophora_costata,27,5,169,41,13,62,31.6,29,40.1,0.49,0.48,0.59
AC_27,angophora_costata,27,6,153.2,29,5,54,32.4,42.6,33.3,0.65,0.91,0.72
AC_27,angophora_costata,27,7,158.4,25,11,50,23.8,40.4,47.1,0.47,0.82,0.9
AC_27,angophora_costata,27,8,133.2,25,10,40,26.7,21.7,32.8,0.42,0.35,0.67
AC_27,angophora_costata,27,9,141,39,6,49,25.3,15.8,21.6,0.45,0.25,0.36
AC_27,angophora_costata,27,10,175.6,29,10,43,31.4,20.2,32.6,0.56,0.29,0.57
ck_18,callistemon_kingsparkspecial,18,1,143,6,5,52,4.8,5.5,5,0.155,0.146,0.127
ck_18,callistemon_kingsparkspecial,18,2,92,2,2,50,3.2,4.1,3.1,0.076,0.092,0.078
ck_18,callistemon_kingsparkspecial,18,3,125,2,7,48,3.1,3.2,3.4,0.084,0.102,0.093
ck_18,callistemon_kingsparkspecial,18,4,111,2,8,41,3.4,6.7,6.6,0.084,0.0128,0.17
