batch_id,species,volume,treenumb,canopy_top,canopy_bottom,branchper30,maxbranchradius,leafarea1,leafarea2,leafarea3,leafmass1,leafmass2,leafmass3
1158,acer_freemanii_autumnblaze,100,1,298.6,76,6,62,,,,,,
1158,acer_freemanii_autumnblaze,100,2,289.6,85,6,93,,,,,,
1158,acer_freemanii_autumnblaze,100,3,303.4,61,4,52,,,,,,
1158,acer_freemanii_autumnblaze,100,4,280.9,60,10,50,,,,,,
1158,acer_freemanii_autumnblaze,100,5,298.6,59,9,92,,,,,,
1158,acer_freemanii_autumnblaze,100,6,332.7,57,2,100,,,,,,
1158,acer_freemanii_autumnblaze,100,7,348.6,84,5,98,,,,,,
1158,acer_freemanii_autumnblaze,100,8,296.9,51,7,58,,,,,,
1158,acer_freemanii_autumnblaze,100,9,317.3,83,6,85,,,,,,
1158,acer_freemanii_autumnblaze,100,10,311.6,65,8,92,,,,,,
35683,angophora_costata,25,1,130,24,10,41,,,,0.42,0.3,0.39
35683,angophora_costata,25,2,128,21,10,42,,,,0.35,0.21,0.33
35683,angophora_costata,25,3,122,20,10,42,,,,0.45,0.36,0.47
35683,angophora_costata,25,4,124,23,10,39,,,,0.52,0.37,0.36
35683,angophora_costata,25,5,116,26,5,37,,,,0.19,0.13,0.25
35683,angophora_costata,25,6,144,20,10,43,,,,0.24,0.26,0.22
35683,angophora_costata,25,7,127,28,11,43,,,,0.34,0.29,0.32
35683,angophora_costata,25,8,117,17,10,33,,,,0.22,0.22,0.36
35683,angophora_costata,25,9,104,24,8,34,,,,0.65,0.3,0.35
35683,angophora_costata,25,10,109,17,8,36,,,,0.26,0.34,0.35
35742,angophora_costata,100,1,320.1,50,8,77,,,,0.59,0.34,0.64
35742,angophora_costata,100,2,318.9,58,3,54,,,,0.42,0.37,0.41
35742,angophora_costata,100,3,321.9,53,5,66,,,,0.37,0.25,0.26
35742,angophora_costata,100,4,287,40,6,63,,,,0.41,0.36,0.23
35742,angophora_costata,100,5,299.7,38,6,68,,,,0.33,0.4,0.37
35742,angophora_costata,100,6,281.7,43,5,65,,,,0.23,0.26,0.25
35742,angophora_costata,100,7,303.2,45,6,52,,,,0.16,0.27,0.33
35742,angophora_costata,100,8,330,48,3,64,,,,0.35,0.22,0.39
35742,angophora_costata,100,9,310.6,38,5,55,,,,0.24,0.29,0.26
35742,angophora_costata,100,10,317,44,5,88,,,,0.27,0.2,0.2
34019,angophora_costata,600,1,463.1,116,8,163,,,,0.24,0.34,0.34
