batch_id,species,volume,treenumb,canopy_top,canopy_bottom,branchper30,maxbranchradius,leafarea1,leafarea2,leafarea3,leafmass1,leafmass2,leafmass3
001-A-063,angophora_costata,45,1,190.5,38.5,1,63.5,31.04,37.76,28.88,0.43,0.61,0.48
001-A-063,angophora_costata,45,2,182.5,38.5,7,49,25.93,29.24,48.22,0.42,0.59,0.94
001-A-063,angophora_costata,45,3,248.3,102,5,71,23.08,20.76,24.71,0.4,0.33,0.39
001-A-063,angophora_costata,45,4,251,24.5,8,46,32.71,24.61,26.1,0.45,0.36,0.42
001-A-063,angophora_costata,45,5,169,23.5,7,44,24.26,21.51,35.12,0.37,0.3,0.53
001-A-063,angophora_costata,45,6,277.6,21,8,48,22.19,17.54,22.64,0.43,0.37,0.41
001-A-063,angophora_costata,45,7,259.3,39.5,3,58,18.61,21.99,23.96,0.26,0.33,0.35
001-A-063,angophora_costata,45,8,316,42,7,84,20.54,27.51,31.61,0.36,0.33,0.39
001-A-063,angophora_costata,45,9,321.5,43,9,60,21.43,22.18,26.11,0.35,0.42,0.44
001-A-063,angophora_costata,45,10,313.5,47.5,4,69,27.88,35.31,35.44,0.36,0.48,0.46
002-S-059,angophora_costata,14,1,105.4,1.9,4,50,24.01,37.21,20.44,0.45,0.58,0.31
002-S-059,angophora_costata,14,2,114.2,4,4,63,22.85,26.64,28.18,0.34,0.36,0.39
002-S-059,angophora_costata,14,3,98.9,26.5,2,46,28.59,19.12,16.28,0.41,0.34,0.24
002-S-059,angophora_costata,14,4,124.4,6.5,4,36,14.7,29.51,28.86,0.2,0.4,0.42
002-S-059,angophora_costata,14,5,100.6,7.8,3,28,32.25,25.93,11.24,0.59,0.42,0.18
002-S-059,angophora_costata,14,6,129.6,11.4,3,40,34.05,25.92,15.8,0.37,0.24,0.13
002-S-059,angophora_costata,14,7,55.1,1.5,6,46,28.29,11.6,13.03,0.4,0.19,0.2
002-S-059,angophora_costata,14,8,81.4,6.3,5,30.5,33.13,28.81,24.51,0.61,0.45,0.32
002-S-059,angophora_costata,14,9,110.6,22.5,1,36,37.62,18.48,21.9,0.67,0.3,0.37
002-S-059,angophora_costata,14,10,141.4,57.5,7,43.5,14.61,19.45,18.93,0.2,0.28,0.28
001-S-080,angophora_costata,45,1,232.8,17,11,62,28.5,27.85,29.34,0.53,0.57,0.5
001-S-080,angophora_costata,45,2,232.3,28,9,61,28.32,25.9,29.56,0.38,0.36,0.47
001-S-080,angophora_costata,45,3,226.8,26,3,63,38.31,30.86,34.6,0.62,0.49,0.46
001-S-080,angophora_costata,45,4,236.4,32,3,48,24.36,39.54,27.36,0.3,0.63,0.35
001-S-080,angophora_costata,45,5,238.5,27,9,56.5,36.21,23.04,22.48,0.69,0.38,0.36
001-S-080,angophora_costata,45,6,230.2,33,4,51,26.73,36.08,37.8,0.36,0.55,0.52
001-S-080,angophora_costata,45,7,216.2,22,7,57,24.08,36.98,42.02,0.37,0.71,0.92
001-S-080,angophora_costata,45,8,203.6,23.5,7,70.5,40.39,28.49,34.12,0.66,0.46,0.53
001-S-080,angophora_costata,45,9,244.8,24,6,55,23.92,26.95,45.45,0.3,0.39,0.7
001-S-080,angophora_costata,45,10,237.5,26.5,7,56.5,24.98,31.16,26.24,0.44,0.51,0.46
004-A-073,angophora_costata,200,1,381,109,10,87,21.8,28.48,17.39,0.27,0.34,0.22
004-A-073,angophora_costata,200,2,487.3,113,1,97,18.2,33.91,27.91,0.2,0.43,0.37
004-A-073,angophora_costata,200,3,457.5,82,7,86,26.41,27.94,23.63,0.34,0.45,0.33
004-A-073,angophora_costata,200,4,468,78,6,105,22.46,27.01,25.72,0.31,0.37,0.34
004-A-073,angophora_costata,200,5,501.3,118,4,79,24.26,20.64,18.16,0.33,0.26,0.24
004-A-073,angophora_costata,200,6,497.3,118.5,7,92,27.4,23.24,22.51,0.38,0.3,0.28
004-A-073,angophora_costata,200,7,438.1,97,8,84,25.86,16.73,16.94,0.36,0.22,0.24
004-A-073,angophora_costata,200,8,365,79,7,72,21.24,23.91,20.41,0.29,0.34,0.3
004-A-073,angophora_costata,200,9,448,88,6,89,13.26,15.83,15.51,0.16,0.31,0.28
004-A-073,angophora_costata,200,10,32.1,87,7,98,17.11,12.69,19.08,0.29,0.21,0.28
007-A-072,angophora_costata,100,1,291.9,57,12,49,18,13.76,12.26,0.28,0.22,0.19
007-A-072,angophora_costata,100,2,325,48,15,65,9.73,7.33,8.83,0.15,0.15,0.16
007-A-072,angophora_costata,100,3,289.4,42,3,54,29.49,13.23,11.49,0.5,0.22,0.21
007-A-072,angophora_costata,100,4,257.8,32,2,81,16.31,19.16,18.79,0.23,0.28,0.3
007-A-072,angophora_costata,100,5,316,53,14,59,27.91,19.44,11.15,0.42,0.29,0.18
007-A-072,angophora_costata,100,6,285.5,64,10,59,22.71,18.69,18.91,0.36,0.29,0.31
007-A-072,angophora_costata,100,7,269,25,4,56,21,25.74,17.4,0.32,0.39,0.32
007-A-072,angophora_costata,100,8,223.4,49,6,49,22.16,29.7,21.45,0.3,0.41,0.3
007-A-072,angophora_costata,100,9,278.9,45,7,70,20.34,25.3,25.68,0.31,0.35,0.38
007-A-072,angophora_costata,100,10,327.5,42,6,54,19.81,22.84,37.38,0.24,0.35,0.5
001-A-074,angophora_costata,100,1,373.8,117,7,108.5,32.75,16.66,24.6,0.55,0.29,0.44
001-A-074,angophora_costata,100,2,404.7,118.5,4,92,20.68,24.66,31.41,0.3,0.36,0.48
001-A-074,angophora_costata,100,3,463,122,5,90,27.16,38.26,19.29,0.38,0.58,0.29
001-A-074,angophora_costata,100,4,414,140.5,8,78,12.28,19.42,17.37,0.17,0.29,0.28
001-A-074,angophora_costata,100,5,485.6,120,5,84.5,35.26,28.4,15.45,0.51,0.43,0.24
001-A-074,angophora_costata,100,6,472.8,115,5,60,21.14,20.64,19.41,0.35,0.32,0.27
001-A-074,angophora_costata,100,7,465.7,123,9,97,23.7,27.56,14.82,0.26,0.38,0.22
001-A-074,angophora_costata,100,8,340,112.5,12,62,23.03,32.76,25.23,0.38,0.47,0.41
001-A-074,angophora_costata,100,9,399,112,10,68,24.75,10.78,24.93,0.32,0.14,0.34
001-A-074,angophora_costata,100,10,429.4,126.5,7,83,19,20.6,25.31,0.25,0.35,0.41
001-A-072,banksia_integrifolia,100,1,258.7,15,6,75,20.6,18.41,24.99,0.24,0.22,0.58
001-A-072,banksia_integrifolia,100,2,296,23,5,60,19.25,22.24,30.55,0.28,0.3,0.65
001-A-072,banksia_integrifolia,100,3,248.1,25.5,3,80,22.26,20.09,15.28,0.36,0.34,0.25
001-A-072,banksia_integrifolia,100,4,261.4,9,3,75,26.89,21.81,12.54,0.66,0.33,0.18
001-A-072,banksia_integrifolia,100,5,251,23.5,3,84,23.81,34.98,13.05,0.48,0.89,0.27
001-A-072,banksia_integrifolia,100,6,300.4,17.5,7,78,24.19,11.81,14.69,0.47,0.18,0.24
001-A-072,banksia_integrifolia,100,7,266.9,42.5,4,80,33.11,12.42,13.11,0.84,0.22,0.24
001-A-072,banksia_integrifolia,100,8,294.5,27.5,2,102,12.44,9.29,20.5,0.18,0.15,0.38
001-A-072,banksia_integrifolia,100,9,251,73,3,89,18.62,22.11,29.53,0.26,0.41,0.59
001-A-072,banksia_integrifolia,100,10,332.4,19,5,82,12.71,26.1,13.99,0.15,0.4,0.17
003-A-066,banksia_integrifolia,75,1,204.9,18,4,48,14.13,14.64,14.3,0.21,0.29,0.28
003-A-066,banksia_integrifolia,75,2,443.6,91,5,74,18.68,15.23,11.8,0.39,0.37,0.26
003-A-066,banksia_integrifolia,75,3,267.3,108,6,70,18.02,16.61,24.15,0.35,0.31,0.48
003-A-066,banksia_integrifolia,75,4,325.4,7,2,76,28.93,14.41,25.24,0.6,0.17,0.49
003-A-066,banksia_integrifolia,75,5,309.9,13,4,39,19.8,13.53,19.62,0.37,0.23,0.36
003-A-066,banksia_integrifolia,75,6,336,109,9,43,16.6,15.71,17.51,0.28,0.3,0.33
003-A-066,banksia_integrifolia,75,7,352.1,81,3,65,13.87,10.53,10.19,0.27,0.22,0.21
003-A-066,banksia_integrifolia,75,8,344.5,10,10,66,12.21,11.57,12.68,0.15,0.18,0.17
003-A-066,banksia_integrifolia,75,9,417.6,70.5,5,55,18.28,15.09,14.9,0.29,0.25,0.26
003-A-066,banksia_integrifolia,75,10,357.9,75,9,61,26.65,18.1,21.55,0.42,0.28,0.34
006-A-007,banksia_integrifolia,5,1,74.5,6,12,32,11.95,10.1,10.26,0.16,0.16,0.12
006-A-007,banksia_integrifolia,5,2,86.5,6,8,36,11.44,15.05,15.56,0.2,0.25,0.25
006-A-007,banksia_integrifolia,5,3,62,5,9,15,6.57,12.12,9.39,0.11,0.25,0.21
006-A-007,banksia_integrifolia,5,4,90.7,15,9,25,12.7,12.2,13.33,0.42,0.26,0.26
006-A-007,banksia_integrifolia,5,5,55,6,10,25,8.24,11.11,7.48,0.09,0.11,0.07
006-A-007,banksia_integrifolia,5,6,74,8,7,19,20.56,7.59,13.65,0.36,0.17,0.27
006-A-007,banksia_integrifolia,5,7,66,5,15,25,13.04,13.9,8.31,0.21,0.24,0.14
