"nursery","date","species","batch_id","batch_id2","volume","calliper300","rcd","height_m","sizeindex","logSI","logvol","logH","logD","logRCD"
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,15.335,22.66,1.457,22.343095,1.34914333208849,1.54406804435028,0.16345955176999,1.1856837803185,1.35525990552738
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,16.475,18.735,1.004,16.5409,1.21855913607505,1.54406804435028,0.00173371280900053,1.21682542326605,1.27265369742982
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,23.43,34.885,1.097,25.70271,1.40997891617167,1.54406804435028,0.0402066275747111,1.36977228859696,1.54263872731516
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,18.33,24.405,1.403,25.71699,1.41022013599058,1.54406804435028,0.14705767102836,1.26316246496222,1.38747881199254
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,11.685,17.08,1.04,12.1524,1.08466205602703,1.54406804435028,0.0170333392987804,1.06762871672825,1.23248786635299
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,15.05,21.305,1.534,23.0867,1.36336185954282,1.54406804435028,0.185825359612962,1.17753649992986,1.32848153853647
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,19.51,29.97,1.663,32.44513,1.51114951861404,1.54406804435028,0.220892249219519,1.29025726939452,1.47668674294564
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,20.335,30.97,1.376,27.98096,1.4468626106401,1.54406804435028,0.138618433899492,1.30824417674061,1.49094120535679
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,16.09,23.765,1.456,23.42704,1.36971741907605,1.54406804435028,0.163161374977018,1.20655604409903,1.37593781863078
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,21.37,24.305,1.431,30.58047,1.48544415592385,1.54406804435028,0.155639633759776,1.32980452216407,1.38569562541056
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,17.7,27.3,1.222,21.6294,1.33504447226834,1.54406804435028,0.0870712059065354,1.24797326636181,1.43616264704076
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,31.355,21.5,1.355,42.486025,1.62824610032179,1.54406804435028,0.131939295210425,1.49630680511137,1.33243845991561
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,19.225,29.925,1.54,29.6065,1.47138706930993,1.54406804435028,0.187520720836463,1.28386634847347,1.47603415907845
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,19.525,26.905,1.38,26.9445,1.43047012895057,1.54406804435028,0.139879086401236,1.29059104254934,1.42983299638251
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,15.315,16.505,1.182,18.10233,1.25773447768783,1.54406804435028,0.0726174765452365,1.18511700114259,1.21761552866633
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,14.605,29.46,1.483,21.659215,1.33564271233795,1.54406804435028,0.171141151028382,1.16450156130957,1.46923274250661
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,14.05,21.245,1.055,14.82275,1.17092878387481,1.54406804435028,0.0232524596337114,1.1476763242411,1.32725673542553
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,20.055,29.02,1.575,31.586625,1.49950322444328,1.54406804435028,0.197280558125619,1.30222266631767,1.46269740810172
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,17.515,27.25,1.559,27.305885,1.43625625684255,1.54406804435028,0.192846115188842,1.24341014165371,1.43536650661266
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,17.95,25.625,1.5,26.925,1.43015571197002,1.54406804435028,0.176091259055681,1.25406445291434,1.40866387406381
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,19.935,22.215,1.524,30.38094,1.48260120700199,1.54406804435028,0.182984967003582,1.29961623999841,1.34664631757689
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,23.035,28.62,2.12,48.8342,1.68872407751745,1.54406804435028,0.326335860928751,1.3623882165887,1.45666962942376
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,17.325,23.86,1.349,23.371425,1.36868519295575,1.54406804435028,0.130011949671904,1.23867324328384,1.37767043933432
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,27.36,34.56,1.603,43.85808,1.64204961540222,1.54406804435028,0.204933522354145,1.43711609304808,1.53857373380686
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,14.29,23.05,1.376,19.66304,1.29365066269046,1.54406804435028,0.138618433899492,1.15503222879097,1.36267092972567
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,14.265,21.195,1.357,19.357605,1.28685162365283,1.54406804435028,0.132579847659737,1.1542717759931,1.32623342090424
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,22.94,30.08,1.745,40.0303,1.60238884486045,1.54406804435028,0.241795431295199,1.36059341356525,1.4782778319196
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,22.14,28.215,1.652,36.57528,1.56318765952707,1.54406804435028,0.218010042984363,1.3451776165427,1.45048005460606
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,23.42,30.47,1.233,28.87686,1.46054996733208,1.54406804435028,0.0909630765957316,1.36958689073634,1.48387245422267
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,20.79,26.875,1.457,30.29103,1.48131404110146,1.54406804435028,0.16345955176999,1.31785448933147,1.42934847292366
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,15.005,22.535,1.552,23.28776,1.36712771668304,1.54406804435028,0.19089171692217,1.17623599976087,1.352857562407
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,20.2,31.96,1.557,31.4514,1.49763998201474,1.54406804435028,0.19228861256812,1.30535136944662,1.50460677064195
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,22.415,31.02,1.34,30.0361,1.47764354156662,1.54406804435028,0.127104798364808,1.35053874320181,1.49164179347759
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,17.705,24.42,1.537,27.212585,1.43476979859387,1.54406804435028,0.186673867499745,1.24809593109413,1.38774565960886
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,16.46,20.705,1.356,22.31976,1.3486895204073,1.54406804435028,0.132259689531044,1.21642983087625,1.3160752348384
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,16.45,22.5,1.513,24.88885,1.39600483030918,1.54406804435028,0.179838928023187,1.21616590228599,1.35218251811136
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,15.21,21.29,0.952,14.47992,1.16076616243747,1.54406804435028,-0.0213630516155256,1.182129214053,1.32817566143832
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,18.47,30.285,1.825,33.70775,1.52772976423273,1.54406804435028,0.261262868792493,1.26646689544024,1.48122757799932
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,13.01,20.345,1.925,25.04425,1.39870803040611,1.54406804435028,0.28443073384452,1.11427729656159,1.3084576941893
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,14.38,22.54,1.153,16.58014,1.21958819334156,1.54406804435028,0.061829307294699,1.15775888604686,1.35295391171009
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,25.235,33.85,1.239,31.266165,1.49507461544577,1.54406804435028,0.0930713063760635,1.4020033090697,1.52955867302116
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,13.72,20.17,1.26,17.2872,1.2377246564883,1.54406804435028,0.100370545117563,1.13735411137073,1.30470589821277
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,20.595,36.1,1.164,23.97258,1.37971477660631,1.54406804435028,0.0659529803138697,1.31376179629244,1.55750720190566
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,18.13,24.345,1.447,26.23411,1.41886633521455,1.54406804435028,0.160468531119037,1.25839780409551,1.38640977888191
"arborwest",2016-09-16,"agonis_flexuosa","C51","C51-agonis_flexuosa",35,18.415,24.35,1.48,27.2542,1.43543343858589,1.54406804435028,0.170261715394957,1.26517172319093,1.38649896555065
"arborwest",2016-09-16,"agonis_flexuosa","H-block","H-block-agonis_flexuosa",100,21.475,32.42,1.785,38.332875,1.58357139295149,2,0.251638220448212,1.33193317250328,1.5108130105125
"arborwest",2016-09-16,"agonis_flexuosa","H-block","H-block-agonis_flexuosa",100,24.765,35.44,1.739,43.066335,1.63413791432119,2,0.240299582002712,1.39383833231847,1.54949371321501
"arborwest",2016-09-16,"agonis_flexuosa","H-block","H-block-agonis_flexuosa",100,30.345,41.725,1.785,54.165825,1.7337253622747,2,0.251638220448212,1.48208714182649,1.62039634535128
"arborwest",2016-09-16,"agonis_flexuosa","H-block","H-block-agonis_flexuosa",100,31.175,34.5,1.594,49.69295,1.69629477921067,2,0.202488317060094,1.49380646215058,1.53781909507327
"arborwest",2016-09-16,"agonis_flexuosa","H-block","H-block-agonis_flexuosa",100,24.705,31.965,1.325,32.734125,1.51500073649826,2,0.122215878272827,1.39278485822544,1.50467470876988
"arborwest",2016-09-16,"agonis_flexuosa","H-block","H-block-agonis_flexuosa",100,27.12,37.96,1.825,49.494,1.69455255398752,2,0.261262868792493,1.43328968519503,1.57932620375526
"arborwest",2016-09-16,"agonis_flexuosa","H-block","H-block-agonis_flexuosa",100,26.15,34.995,1.976,51.6724,1.7132586334549,2,0.295786940251609,1.41747169320329,1.54400599784943
"arborwest",2016-09-16,"agonis_flexuosa","H-block","H-block-agonis_flexuosa",100,19.715,29.525,1.503,29.631645,1.47175576199615,2,0.176958980586908,1.29479678140924,1.47018990628555
"arborwest",2016-09-16,"agonis_flexuosa","H-block","H-block-agonis_flexuosa",100,27.98,43.56,1.844,51.59512,1.71260862687342,2,0.265760916717611,1.44684771015581,1.63908787108374
"arborwest",2016-09-16,"agonis_flexuosa","H-block","H-block-agonis_flexuosa",100,24.74,37.075,1.802,44.58148,1.64915448193615,2,0.255754786643044,1.3933996952931,1.56908115970042
"arborwest",2016-09-16,"agonis_flexuosa","H-block","H-block-agonis_flexuosa",100,26.625,33.8,1.53,40.73625,1.60998104726439,2,0.184691430817599,1.42528961644679,1.52891670027765
"arborwest",2016-09-16,"agonis_flexuosa","H-block","H-block-agonis_flexuosa",100,25.925,33.74,1.285,33.313625,1.52262189272839,2,0.108903127667313,1.41371876506108,1.52814507825311
"arborwest",2016-09-16,"agonis_flexuosa","H-block","H-block-agonis_flexuosa",100,28.45,30.865,1.807,51.40915,1.71104042329202,2,0.256958152560932,1.45408227073109,1.48946628130313
"arborwest",2016-09-16,"agonis_flexuosa","H-block","H-block-agonis_flexuosa",100,25.37,40.325,1.708,43.33196,1.63680833357472,2,0.232487866352986,1.40432046722173,1.605574376061
"arborwest",2016-09-16,"agonis_flexuosa","H-block","H-block-agonis_flexuosa",100,26.055,37.91,1.585,41.297175,1.61592034405655,2,0.20002926655377,1.41589107750278,1.57875378442643
"arborwest",2016-09-16,"agonis_flexuosa","H-block","H-block-agonis_flexuosa",100,29.38,36.22,1.65,48.477,1.68553573566814,2,0.217483944213906,1.46805179145424,1.55894844597804
"arborwest",2016-09-16,"agonis_flexuosa","H-block","H-block-agonis_flexuosa",100,29.935,34.57,1.557,46.608795,1.66846787504982,2,0.19228861256812,1.4761792624817,1.53869937954241
"arborwest",2016-09-16,"agonis_flexuosa","H-block","H-block-agonis_flexuosa",100,25.52,33.99,1.739,44.37928,1.64718025205184,2,0.240299582002712,1.40688067004912,1.53135116458306
"arborwest",2016-09-16,"agonis_flexuosa","H-block","H-block-agonis_flexuosa",100,23.785,42.875,1.496,35.58236,1.55123474928436,2,0.174931593528443,1.37630315575592,1.63220413305083
"arborwest",2016-09-16,"agonis_flexuosa","H-block","H-block-agonis_flexuosa",100,26.82,36.65,1.607,43.09974,1.63447465027892,2,0.206015876763345,1.42845877351558,1.56407397897715
"arborwest",2016-09-16,"agonis_flexuosa","M29","M29-agonis_flexuosa",200,40.625,52.615,2.221,90.228125,1.9553419325354,2.30102999566398,0.346548558548474,1.60879337398693,1.72110957473441
"arborwest",2016-09-16,"agonis_flexuosa","M29","M29-agonis_flexuosa",200,37.045,48.27,2.496,92.46432,1.96597418012882,2.30102999566398,0.397244581010386,1.56872959911843,1.68367729881869
"arborwest",2016-09-16,"agonis_flexuosa","M29","M29-agonis_flexuosa",200,40.39,55.5,2.147,86.71733,1.93810589760624,2.30102999566398,0.331832044436249,1.60627385316999,1.74429298312268
"arborwest",2016-09-16,"agonis_flexuosa","M29","M29-agonis_flexuosa",200,42.26,51.355,2.188,92.46488,1.96597681037769,2.30102999566398,0.340047317661393,1.62592949271629,1.71058273355544
"arborwest",2016-09-16,"agonis_flexuosa","M29","M29-agonis_flexuosa",200,42.815,64.05,2.677,114.615755,2.05924431954473,2.30102999566398,0.427648371186933,1.6315959483578,1.80651913408071
"arborwest",2016-09-16,"agonis_flexuosa","M29","M29-agonis_flexuosa",200,43.94,54.815,2.43,106.7742,2.0284663261828,2.30102999566398,0.385606273598312,1.64286005258449,1.73889941844458
"arborwest",2016-09-16,"agonis_flexuosa","M29","M29-agonis_flexuosa",200,39.18,47.075,2.865,112.2507,2.05018905796213,2.30102999566398,0.457124626303409,1.59306443165872,1.6727903286887
"arborwest",2016-09-16,"agonis_flexuosa","M29","M29-agonis_flexuosa",200,40.565,57.355,2.637,106.969905,2.02926161010731,2.30102999566398,0.421110129793434,1.60815148031387,1.75857128409877
"arborwest",2016-09-16,"agonis_flexuosa","M29","M29-agonis_flexuosa",200,36.55,51.8,3.043,111.22165,2.04618933365205,2.30102999566398,0.483301952358167,1.56288738129388,1.71432975974523
"arborwest",2016-09-16,"agonis_flexuosa","M29","M29-agonis_flexuosa",200,58.605,72.135,2.307,135.201735,2.13098226480156,2.30102999566398,0.363047594521093,1.76793467028047,1.85814603612949
"arborwest",2016-09-16,"agonis_flexuosa","M29","M29-agonis_flexuosa",200,40.375,55.66,2.14,86.4025,1.93652630868835,2.30102999566398,0.330413773349191,1.60611253533916,1.74554320199802
"arborwest",2016-09-16,"agonis_flexuosa","M29","M29-agonis_flexuosa",200,50.415,64.14,2.601,131.129415,2.11770012372103,2.30102999566398,0.415140352195873,1.70255977152516,1.80712895559242
"arborwest",2016-09-16,"agonis_flexuosa","M29","M29-agonis_flexuosa",200,38.29,52.715,2.545,97.44805,1.98877315302047,2.30102999566398,0.405687786672778,1.58308536634769,1.72193421085401
"arborwest",2016-09-16,"agonis_flexuosa","M29","M29-agonis_flexuosa",200,56.495,81.095,2.917,164.795915,2.2169464421005,2.30102999566398,0.464936429121733,1.75201001297877,1.90899407814025
"arborwest",2016-09-16,"agonis_flexuosa","M29","M29-agonis_flexuosa",200,36.79,42.585,2.432,89.47328,1.95169335843182,2.30102999566398,0.385963570600697,1.56572978783113,1.62925665158154
"arborwest",2016-09-16,"agonis_flexuosa","M29","M29-agonis_flexuosa",200,48.635,54.525,2.355,114.535425,2.05893983167642,2.30102999566398,0.371990911464915,1.6869489202115,1.73659567425074
"arborwest",2016-09-16,"agonis_flexuosa","M29","M29-agonis_flexuosa",200,42.21,57.26,2.054,86.69934,1.93801579141567,2.30102999566398,0.312600439261259,1.62541535215441,1.75785134368558
"arborwest",2016-09-16,"agonis_flexuosa","M29","M29-agonis_flexuosa",200,36.74,54.015,1.978,72.67172,1.86136543923095,2.30102999566398,0.296226287261161,1.56513915196979,1.73251438042697
"arborwest",2016-09-16,"agonis_flexuosa","M29","M29-agonis_flexuosa",200,31.565,43.15,2.084,65.78146,1.81810350829086,2.30102999566398,0.318897714627487,1.49920579366337,1.63498080005123
"arborwest",2016-09-16,"agonis_flexuosa","M29","M29-agonis_flexuosa",200,43.995,62.215,2.481,109.151595,2.03803008630844,2.30102999566398,0.394626764272209,1.64340332203623,1.79389510546018
"arborwest",2016-09-16,"agonis_flexuosa","J-Block","J-Block-agonis_flexuosa",500,96.275,103.26,3.609,347.456475,2.54090040935428,2.69897000433602,0.557386882059507,1.98351352729477,2.0139321207112
"arborwest",2016-09-16,"agonis_flexuosa","J-Block","J-Block-agonis_flexuosa",500,90.185,113.31,3.808,343.42448,2.53583124932807,2.69897000433602,0.580696939712437,1.95513430961563,2.05426823954719
"arborwest",2016-09-16,"agonis_flexuosa","J-Block","J-Block-agonis_flexuosa",500,96.83,115.44,3.915,379.08945,2.57874169824722,2.69897000433602,0.592731766393962,1.98600993185326,2.06235631808544
"arborwest",2016-09-16,"agonis_flexuosa","J-Block","J-Block-agonis_flexuosa",500,103.025,113.25,4.49,462.58225,2.66518896419995,2.69897000433602,0.652246341003323,2.01294262319663,2.05403821068487
"arborwest",2016-09-16,"agonis_flexuosa","J-Block","J-Block-agonis_flexuosa",500,111.28,127.885,4.573,508.88344,2.70661831836467,2.69897000433602,0.660201201380682,2.04641711698399,2.10681960781516
"arborwest",2016-09-16,"agonis_flexuosa","J-Block","J-Block-agonis_flexuosa",500,105.42,112.6,4.359,459.52578,2.66230988089662,2.69897000433602,0.639386869017684,2.02292301187894,2.05153839051533
"arborwest",2016-09-16,"agonis_flexuosa","J-Block","J-Block-agonis_flexuosa",500,111.515,114.59,4.33,482.85995,2.68382118507457,2.69897000433602,0.636487896353365,2.0473332887212,2.0591467194262
"arborwest",2016-09-16,"agonis_flexuosa","J-Block","J-Block-agonis_flexuosa",500,104.665,110.465,3.946,413.00809,2.61595855869744,2.69897000433602,0.596157080916172,2.01980147778126,2.04322469689295
"arborwest",2016-09-16,"agonis_flexuosa","J-Block","J-Block-agonis_flexuosa",500,96.75,105.4,4.135,400.06125,2.60212648757951,2.69897000433602,0.616475513888565,1.98565097369095,2.02284061087653
"arborwest",2016-09-16,"agonis_flexuosa","J-Block","J-Block-agonis_flexuosa",500,103.845,120.29,4.4,456.918,2.6598382671533,2.69897000433602,0.643452676486187,2.01638559066712,2.08022952488487
"arborwest",2016-09-16,"agonis_flexuosa","J-Block","J-Block-agonis_flexuosa",500,101.225,123.495,4.34,439.3165,2.64277751495296,2.69897000433602,0.637489729512511,2.00528778544045,2.0916493744672
"arborwest",2016-09-16,"agonis_flexuosa","J-Block","J-Block-agonis_flexuosa",500,82.67,102.735,4.401,363.83067,2.56089930619072,2.69897000433602,0.643551368562945,1.91734793762777,2.01171842526558
"arborwest",2016-09-16,"agonis_flexuosa","J-Block","J-Block-agonis_flexuosa",500,94.23,113.55,3.615,340.64145,2.53229749274872,2.69897000433602,0.55810830163055,1.97418919111817,2.05518713855575
"arborwest",2016-09-16,"agonis_flexuosa","J-Block","J-Block-agonis_flexuosa",500,91.74,103.32,4.672,428.60928,2.63206156990031,2.69897000433602,0.669502834104343,1.96255873579596,2.01418439750128
"arborwest",2016-09-16,"agonis_flexuosa","J-Block","J-Block-agonis_flexuosa",500,98.05,107.515,4.184,410.2412,2.61303927386302,2.69897000433602,0.621591675859218,1.9914475980038,2.0314690592542
"arborwest",2016-09-16,"agonis_flexuosa","J-Block","J-Block-agonis_flexuosa",500,92.975,107.65,4.268,396.8173,2.59859059778344,2.69897000433602,0.630224410752432,1.96836618703101,2.03201403415951
"arborwest",2016-09-16,"agonis_flexuosa","J-Block","J-Block-agonis_flexuosa",500,106.325,110.415,3.964,421.4723,2.6247690371993,2.69897000433602,0.598133645813238,2.02663539138606,2.04302807678732
"arborwest",2016-09-16,"agonis_flexuosa","J-Block","J-Block-agonis_flexuosa",500,97.28,113.58,4.109,399.72352,2.60175970319053,2.69897000433602,0.613736141261871,1.98802356192866,2.05530186434744
"arborwest",2016-09-16,"agonis_flexuosa","J-Block","J-Block-agonis_flexuosa",500,109.645,124.015,4.35,476.95575,2.6784780888467,2.69897000433602,0.638489256954637,2.03998883189206,2.09347421760774
"arborwest",2016-09-16,"agonis_flexuosa","J-Block","J-Block-agonis_flexuosa",500,95.395,109.68,3.87,369.17865,2.5672365773612,2.69897000433602,0.587710965018911,1.97952561234229,2.04012744178146
"arborwest",2016-09-16,"angophora_costata","H10","H10-angophora_costata",100,55.45,60.97,2.696,149.4932,2.17462143834846,2,0.430719887863282,1.74390155048518,1.78511619502192
"arborwest",2016-09-16,"angophora_costata","H10","H10-angophora_costata",100,59.86,67.435,3.34,199.9324,2.30088317931574,2,0.523746466811564,1.77713671250417,1.82888536184044
"arborwest",2016-09-16,"angophora_costata","H10","H10-angophora_costata",100,55.01,58.8,3.277,180.26777,2.25591808633214,2,0.515476441382376,1.74044164494977,1.76937732607614
"arborwest",2016-09-16,"angophora_costata","H10","H10-angophora_costata",100,50.79,54.695,3.542,179.89818,2.25502676968265,2,0.549248556854056,1.7057782128286,1.73794762666871
"arborwest",2016-09-16,"angophora_costata","H10","H10-angophora_costata",100,53.125,56.025,2.995,159.109375,2.2016957697837,2,0.47639682672533,1.72529894305837,1.7483818652071
"arborwest",2016-09-16,"angophora_costata","H10","H10-angophora_costata",100,44.81,50.32,2.948,132.09988,2.12090242310006,2,0.469527479187014,1.65137494391304,1.70174063243721
"arborwest",2016-09-16,"angophora_costata","H10","H10-angophora_costata",100,57.4,64.38,2.802,160.8348,2.20638002334773,2,0.447468130949756,1.75891189239797,1.80875097234959
"arborwest",2016-09-16,"angophora_costata","H10","H10-angophora_costata",100,48.37,52.56,2.628,127.11636,2.1042014482762,2,0.419625360887743,1.68457608738846,1.72065535655172
"arborwest",2016-09-16,"angophora_costata","H10","H10-angophora_costata",100,48.765,52.82,2.724,132.83586,2.12331533179256,2,0.435207103240748,1.68810822855181,1.72279839687091
"arborwest",2016-09-16,"angophora_costata","H10","H10-angophora_costata",100,38.53,46.695,2.893,111.46729,2.04714744266098,2,0.461348433647983,1.585799009013,1.6692703797382
"arborwest",2016-09-16,"angophora_costata","H10","H10-angophora_costata",100,39.48,41.91,2.977,117.53196,2.07015597864432,2,0.473778834646725,1.5963771439976,1.62231766083384
"arborwest",2016-09-16,"angophora_costata","H10","H10-angophora_costata",100,56.77,63.755,2.97,168.6069,2.22687534354263,2,0.472756449317212,1.75411889422541,1.80451425008259
"arborwest",2016-09-16,"angophora_costata","H10","H10-angophora_costata",100,42.295,48.27,2.803,118.552885,2.07391212705596,2,0.447623097760286,1.62628902929567,1.68367729881869
"arborwest",2016-09-16,"angophora_costata","H10","H10-angophora_costata",100,41.395,42.64,2.37,98.10615,1.99169623293903,2,0.374748346010104,1.61694788692893,1.62981719601852
"arborwest",2016-09-16,"angophora_costata","H10","H10-angophora_costata",100,39.675,42.345,2.985,118.429875,2.07346127089227,2,0.474944335465388,1.59851693542689,1.6268021372026
"arborwest",2016-09-16,"angophora_costata","H10","H10-angophora_costata",100,46.35,48.65,3.45,159.9075,2.20386883355379,2,0.537819095073274,1.66604973848052,1.68708284460437
"arborwest",2016-09-16,"angophora_costata","H10","H10-angophora_costata",100,49.66,55.13,3.427,170.18482,2.23092081964841,2,0.534914104429867,1.69600671521855,1.74138799247927
"arborwest",2016-09-16,"angophora_costata","H10","H10-angophora_costata",100,40.165,44.065,2.593,104.147845,2.01765028806877,2,0.413802516769351,1.60384777129942,1.64409377445814
"arborwest",2016-09-16,"angophora_costata","H10","H10-angophora_costata",100,46.71,50.95,2.412,112.66452,2.0517871707559,2,0.382377303468114,1.66940986728778,1.70714418834245
"arborwest",2016-09-16,"angophora_costata","H10","H10-angophora_costata",100,56.585,56.875,3.065,173.433025,2.23913179907806,2,0.486430478854434,1.75270132022363,1.75492140966517
"arborwest",2016-09-16,"brachychiton_acerifolius","L21","L21-brachychiton_acerifolius",100,78.75,95.07,3.195,251.60625,2.40072142495606,2,0.504470862494419,1.89625056246164,1.97804349390996
"arborwest",2016-09-16,"brachychiton_acerifolius","L21","L21-brachychiton_acerifolius",100,68.945,84.69,3.112,214.55684,2.33154236425161,2,0.493039588317651,1.83850277593396,1.92783213286658
"arborwest",2016-09-16,"callistemon_kingsparkspecial","C59","C59-callistemon_kingsparkspecial",35,13.735,20.485,1.215,16.688025,1.22240494169091,1.54406804435028,0.084576277934331,1.13782866375658,1.31143596828916
