species,batch_id,volume,treenumb,canopy_top,canopy_bottom,branchper30,maxbranchradius,leafarea1,leafarea2,leafarea3,leafmass1,leafmass2,leafmass3
adansonia_gregorii,ag_46_45,45,1,141.6,50,3,69,,,,,,
adansonia_gregorii,ag_46_45,45,2,177.9,53,6,58,,,,,,
adansonia_gregorii,ag_46_45,45,3,170.3,59,6,48,,,,,,
adansonia_gregorii,ag_46_45,45,4,150.3,73,2,53,,,,,,
adansonia_gregorii,ag_46_45,45,5,141.7,45,6,43,,,,,,
adansonia_gregorii,ag_46_45,45,6,176.3,73,3,61,,,,,,
adansonia_gregorii,ag_46_45,45,7,118.2,40,2,52,,,,,,
adansonia_gregorii,ag_46_45,45,8,117.1,24,2,17,,,,,,
adansonia_gregorii,ag_46_45,45,9,136.4,48,3,49,,,,,,
adansonia_gregorii,ag_46_45,45,10,110.7,50,4,43,,,,,,
adansonia_gregorii,ag_46_100,100,1,314.8,143,5,55,,,,,,
adansonia_gregorii,ag_46_100,100,2,289.6,148,6,75,,,,,,
adansonia_gregorii,ag_46_100,100,3,278,91,2,41,,,,,,
adansonia_gregorii,ag_46_100,100,4,295.7,100,1,67,,,,,,
adansonia_gregorii,ag_46_100,100,5,293.7,128,8,40,,,,,,
adansonia_gregorii,ag_46_100,100,6,276.3,126,5,64,,,,,,
adansonia_gregorii,ag_46_100,100,7,321.5,131,4,62,,,,,,
adansonia_gregorii,ag_46_100,100,8,321.6,119,4,62,,,,,,
adansonia_gregorii,ag_46_100,100,9,253.5,79,1,47,,,,,,
adansonia_gregorii,ag_46_100,100,10,335.8,133,3,69,,,,,,
albizia_saman,as_74,20,1,129.1,38,9,28,4.01,26.91,1.96,0.01,0.2,0.01
albizia_saman,as_74,20,2,152.3,55,10,17,7.83,8.64,12.14,0.05,0.01,0.07
albizia_saman,as_74,20,3,170.6,54,9,15,5.32,13.42,6.41,0.01,0.08,0.03
albizia_saman,as_74,20,4,170.7,60,12,14,15.41,9.9,5.96,0.13,0.09,0.02
albizia_saman,as_74,20,5,164.8,63,9,27,4.7,9.42,20.23,0.04,0.05,0.21
albizia_saman,as_74,20,6,172.8,66,12,34,9.49,4.55,13.61,0.06,0.01,0.12
albizia_saman,as_74,20,7,164,57,10,29,6.12,12,16.79,0.08,0.013,0.13
albizia_saman,as_74,20,8,138,48,9,22,6.58,7.96,8.41,0.03,0.06,0.06
albizia_saman,as_74,20,9,164.7,57,11,34,7.85,6.62,13.99,0.03,0.03,0.11
albizia_saman,as_74,20,10,156.8,34,5,25,11.85,4.8,14.91,0.05,0.01,0.09
allosyncarpia_ternata,at_109,100,1,277.6,115,74,4,12.31,14.14,,0.12,0.16,
allosyncarpia_ternata,at_109,100,2,312.7,166,68,3,19.9,21.54,10.79,0.35,0.4,0.18
allosyncarpia_ternata,at_109,100,3,325.3,145,92,7,10.93,38.34,17.19,0.16,0.61,0.26
allosyncarpia_ternata,at_109,100,4,291.3,129,88,2,26.5,29.29,10.9,0.41,0.43,0.17
allosyncarpia_ternata,at_109,100,5,336.4,140,80,8,13.69,11.04,24.45,0.24,0.18,0.39
allosyncarpia_ternata,at_109,100,6,296.7,146,125,5,18.44,17.86,11.71,0.29,0.26,0.15
allosyncarpia_ternata,at_109,100,7,275.8,155,83,5,16.32,29.33,23.39,0.26,0.41,0.34
allosyncarpia_ternata,at_109,100,8,308.7,160,72,5,24.33,19.26,35.89,0.37,0.3,0.58
allosyncarpia_ternata,at_109,100,9,268.2,128,93,4,23.31,26.19,27.44,0.43,0.41,0.34
araucaria_heterophylla,ah_37,65,1,366.9,143,5,55,,,,,,
araucaria_heterophylla,ah_37,65,2,395,148,6,75,,,,,,
araucaria_heterophylla,ah_37,65,3,294.5,91,2,41,,,,,,
araucaria_heterophylla,ah_37,65,4,372.6,100,1,67,,,,,,
araucaria_heterophylla,ah_37,65,5,382.5,128,8,40,,,,,,
araucaria_heterophylla,ah_37,65,6,341,126,5,64,,,,,,
araucaria_heterophylla,ah_37,65,7,337,131,4,62,,,,,,
araucaria_heterophylla,ah_37,65,8,344,119,4,62,,,,,,
araucaria_heterophylla,ah_37,65,9,331,79,1,47,,,,,,
araucaria_heterophylla,ah_37,65,10,239,133,3,69,,,,,,
barringtonia_acutangula,ba_72,20,1,218.7,126,46,3,30.49,13.62,16.35,0.3,0.12,0.14
barringtonia_acutangula,ba_72,20,2,241.1,133,79,1,37.98,34.48,24.41,0.36,0.31,0.25
barringtonia_acutangula,ba_72,20,3,255.7,162,47,9,35.82,37.18,8.96,0.31,0.31,0.05
barringtonia_acutangula,ba_72,20,4,218.4,102,112,7,12.91,39,31.52,0.1,0.39,0.24
barringtonia_acutangula,ba_72,20,5,239.8,72,53,6,22.99,18.15,26.8,0.18,0.15,0.33
barringtonia_acutangula,ba_72,20,6,263.4,125,52,2,26.63,25.78,19.71,0.22,0.23,0.18
barringtonia_acutangula,ba_72,20,7,253.1,123,54,4,20.61,22.62,41.32,0.18,0.19,0.32
barringtonia_acutangula,ba_72,20,8,249.6,95,86,1,20.04,30.42,22.91,0.16,0.2,0.17
barringtonia_acutangula,ba_72,20,9,247.8,147,75,8,23.25,18.58,26.44,0.22,0.15,0.21
barringtonia_acutangula,ba_72,20,10,245.6,139,72,3,8.54,15.21,12.81,0.07,0.13,0.1
bauhinia_variegata,bv_73,20,1,198,59,6,77,29.7,41.22,16,0.2,0.33,0.13
bauhinia_variegata,bv_73,20,2,243.8,66,4,39,34.5,16.6,18.52,0.12,0.07,0.13
bauhinia_variegata,bv_73,20,3,208.8,47,6,78,17.25,33.15,49.42,0.11,0.23,0.28
bauhinia_variegata,bv_73,20,4,222,59,6,42,21.6,37.45,50.1,0.1,0.19,0.23
bauhinia_variegata,bv_73,20,5,215.9,30,3,39,49.96,44.91,69.1,0.22,0.22,0.44
bauhinia_variegata,bv_73,20,6,237.7,64,5,26,,45.92,44.3,,0.23,0.16
bauhinia_variegata,bv_73,20,7,250.7,57,3,95,28.9,22.22,59.72,0.12,0.11,0.3
bauhinia_variegata,bv_73,20,8,246.1,59,5,51,31.26,42.86,30.4,0.15,0.25,0.15
bauhinia_variegata,bv_73,20,9,176.7,116,4,45,29.72,24.38,26.6,0.17,0.13,0.13
bauhinia_variegata,bv_73,20,10,203.8,144,5,53,32.02,40.76,26.22,0.17,0.19,0.15
buchanania_arborescens,ba_65,20,1,186,95,4,32,33.21,54.69,35.22,0.34,0.6,0.35
buchanania_arborescens,ba_65,20,2,219,176,8,16,41.51,44.51,50.19,0.6,0.6,0.61
buchanania_arborescens,ba_65,20,3,233.1,95,2,40,41,50.21,57.66,0.5,0.61,0.72
buchanania_arborescens,ba_65,20,4,209.4,112,3,29,36.44,43.41,60.71,0.33,0.59,0.88
buchanania_arborescens,ba_65,20,5,155.8,107,2,18,53.71,50.62,59.06,0.54,0.52,0.7
buchanania_arborescens,ba_65,20,6,221,166,9,29,44.61,93.23,76.86,0.48,0.85,1.02
buchanania_arborescens,ba_65,20,7,163.7,36,8,22,42.65,34.05,46.84,0.43,0.43,0.39
buchanania_arborescens,ba_65,20,8,194.3,69,6,34,53.73,41.96,42.19,0.85,0.45,0.48
