"nursery","date","species","batch_id","batch_id2","volume","calliper300","rcd","height_m","sizeindex","logSI","logvol","logH","logD","logRCD"
"ellenby",2016-09-12,"agonis_flexuosa","12973","12973-agonis_flexuosa",35,13.345,23.56,1.4,18.683,1.27144661380176,1.54406804435028,0.146128035678238,1.12531857812353,1.37217528611506
"ellenby",2016-09-12,"agonis_flexuosa","12973","12973-agonis_flexuosa",35,26.82,32.86,1.419,38.05758,1.58044116897305,1.54406804435028,0.151982395457474,1.42845877351558,1.51666755909904
"ellenby",2016-09-12,"agonis_flexuosa","12973","12973-agonis_flexuosa",35,23.81,31.15,1.086,25.85766,1.41258922065771,1.54406804435028,0.0358298252528281,1.37675939540488,1.49345805099519
"ellenby",2016-09-12,"agonis_flexuosa","12973","12973-agonis_flexuosa",35,25.895,31.37,1.312,33.97424,1.53114975039355,1.54406804435028,0.117933835039641,1.41321591535391,1.49651451869775
"ellenby",2016-09-12,"agonis_flexuosa","12973","12973-agonis_flexuosa",35,21.57,34.84,1.15,24.8055,1.39454798545616,1.54406804435028,0.0606978403536116,1.33385014510255,1.54207814633563
"ellenby",2016-09-12,"agonis_flexuosa","12973","12973-agonis_flexuosa",35,32.52,34.125,1.661,54.01572,1.73252016937342,1.54406804435028,0.220369632451394,1.51215053692203,1.53307266004881
"ellenby",2016-09-12,"agonis_flexuosa","12973","12973-agonis_flexuosa",35,27.93,33.705,1.524,42.56532,1.62905590270459,1.54406804435028,0.182984967003582,1.44607093570101,1.52769433147481
"ellenby",2016-09-12,"agonis_flexuosa","12973","12973-agonis_flexuosa",35,24.13,31.365,1.153,27.82189,1.44438662920348,1.54406804435028,0.061829307294699,1.38255732190879,1.49644529187335
"ellenby",2016-09-12,"agonis_flexuosa","12973","12973-agonis_flexuosa",35,17.06,31.12,1.234,21.05204,1.32329418652873,1.54406804435028,0.0913151596972229,1.2319790268315,1.49303958831765
"ellenby",2016-09-12,"agonis_flexuosa","12973","12973-agonis_flexuosa",35,26.275,42.135,1.905,50.053875,1.69943770471192,1.54406804435028,0.279894980011638,1.41954272470028,1.62464299825726
"ellenby",2016-09-12,"agonis_flexuosa","12973","12973-agonis_flexuosa",35,17.37,36.05,1.066,18.51642,1.26755702313765,1.54406804435028,0.0277572046905534,1.2397998184471,1.55690526905545
"ellenby",2016-09-12,"agonis_flexuosa","12973","12973-agonis_flexuosa",35,31.075,34.775,1.424,44.2508,1.64592112661452,1.54406804435028,0.153509989300838,1.49241113731368,1.54126713866408
