"nursery","date","species","batch_id","batch_id2","volume","calliper300","rcd","height_m","sizeindex","logSI","logvol","logH","logD","logRCD"
"ett",2016-06-29,"acer_rubrum_octoberglory","ar_200","ar_200-acer_rubrum_octoberglory",200,63.32,96.84,4.52,286.2064,2.4566793410017,2.30102999566398,0.655138434811382,1.80154090619032,1.9860547807697
"ett",2016-06-29,"angophora_costata","ac_100","ac_100-angophora_costata",100,53.08,64.24,4.333,229.99564,2.36171960322677,2,0.636788689034375,1.7249309141924,1.80780553227062
"ett",2016-06-29,"angophora_costata","ac_100","ac_100-angophora_costata",100,49.57,68.205,4.601,228.07157,2.35807115216995,2,0.662852233264796,1.69521891890515,1.83381621326079
"ett",2016-06-29,"angophora_costata","ac_100","ac_100-angophora_costata",100,52.46,69.12,4.334,227.36164,2.35671719323813,2,0.636888906983799,1.71982828625433,1.83960372947084
"ett",2016-06-29,"angophora_costata","ac_100","ac_100-angophora_costata",100,48.67,57.595,4.665,227.04555,2.35611299432603,2,0.668851648082519,1.68726134624351,1.76038478261309
"ett",2016-06-29,"angophora_costata","ac_100","ac_100-angophora_costata",100,49.735,50.18,4.37,217.34195,2.33714355924817,2,0.640481436970422,1.69666212227775,1.70053065697859
"ett",2016-06-29,"angophora_costata","ac_100","ac_100-angophora_costata",100,40.935,52.105,4.396,179.95026,2.25515247847703,2,0.643057683751453,1.61209479472558,1.71687940023271
"ett",2016-06-29,"angophora_costata","ac_100","ac_100-angophora_costata",100,43.205,60.085,3.655,157.914275,2.19842139076516,2,0.562887381293879,1.63553400947128,1.77876606550838
"ett",2016-06-29,"angophora_costata","ac_100","ac_100-angophora_costata",100,39.76,58.03,3.944,156.81344,2.19538328199445,2,0.595936906269174,1.59944637572528,1.76365257056453
"ett",2016-06-29,"angophora_costata","ac_100","ac_100-angophora_costata",100,49.38,58.35,3.455,170.6079,2.23199913730613,2,0.538448051710217,1.69355108559591,1.76604086038139
"ett",2016-06-29,"angophora_costata","ac_100","ac_100-angophora_costata",100,49.755,53.56,4.331,215.488905,2.33342491430501,2,0.636588183729842,1.69683673057516,1.72884056833997
"ett",2016-06-29,"angophora_costata","ac_100","ac_100-angophora_costata",100,45.27,59.885,4.35,196.9245,2.29429975144989,2,0.638489256954637,1.65581049449525,1.77731805389138
"ett",2016-06-29,"angophora_costata","ac_100","ac_100-angophora_costata",100,43.915,56.435,3.645,160.070175,2.20431041974214,2,0.561697532653993,1.64261288708815,1.75154852938068
"ett",2016-06-29,"angophora_costata","ac_100","ac_100-angophora_costata",100,49.125,58.9,3.959,194.485875,2.28888806513569,2,0.597585501752205,1.69130256338348,1.7701152947871
"ett",2016-06-29,"angophora_costata","ac_100","ac_100-angophora_costata",100,49.25,55.57,4.247,209.16475,2.32048849582431,2,0.628082260990679,1.69240623483363,1.74484039678538
"ett",2016-06-29,"angophora_costata","ac_100","ac_100-angophora_costata",100,52.745,61.13,3.392,178.91104,2.25263714024958,2,0.530455843584676,1.72218129666491,1.78625439578978
"ett",2016-06-29,"angophora_costata","ac_100","ac_100-angophora_costata",100,57.68,69.29,3.675,211.974,2.32628259513159,2,0.565257343420214,1.76102525171137,1.84067056133341
"ett",2016-06-29,"angophora_costata","ac_100","ac_100-angophora_costata",100,58.395,66.85,4.251,248.237145,2.39486676774097,2,0.628491104967123,1.76637566277384,1.825101411598
"ett",2016-06-29,"angophora_costata","ac_100","ac_100-angophora_costata",100,54.52,64.765,4.598,250.68296,2.3991248140959,2,0.66256896693326,1.73655584716264,1.81134036986185
"ett",2016-06-29,"angophora_costata","ac_100","ac_100-angophora_costata",100,58.985,66.525,4.349,256.525765,2.40913099141811,2,0.638389407665336,1.77074158375277,1.82298488322343
"ett",2016-06-29,"angophora_costata","ac_100","ac_100-angophora_costata",100,52.965,63.21,4.444,235.37646,2.37176302688761,2,0.64777405026883,1.72398897661878,1.80078579032776
"ett",2016-06-29,"araucaria_heterophylla","ah_200","ah_200-araucaria_heterophylla",200,93.305,109.905,4.461,416.233605,2.61933714045249,2.30102999566398,0.649432223241617,1.96990491721088,2.04101745059469
"ett",2016-06-29,"araucaria_heterophylla","ah_200","ah_200-araucaria_heterophylla",200,84.375,103.85,3.895,328.640625,2.51672124784766,2.30102999566398,0.590507462008583,1.92621378583908,2.01640650087112
"ett",2016-06-29,"araucaria_heterophylla","ah_200","ah_200-araucaria_heterophylla",200,89.945,107.08,4.376,393.59932,2.59505433945315,2.30102999566398,0.641077313325374,1.95397702612777,2.02970836251489
"ett",2016-06-29,"araucaria_heterophylla","ah_200","ah_200-araucaria_heterophylla",200,96.055,107.905,4.345,417.358975,2.62050975712339,2.30102999566398,0.637989780784685,1.9825199763387,2.03304156907678
"ett",2016-06-29,"araucaria_heterophylla","ah_200","ah_200-araucaria_heterophylla",200,101.185,107.19,4.35,440.15475,2.64360539297557,2.30102999566398,0.638489256954637,2.00511613602093,2.0301542709221
"ett",2016-06-29,"araucaria_heterophylla","ah_200","ah_200-araucaria_heterophylla",200,92.295,105.655,4.318,398.52981,2.60046081214192,2.30102999566398,0.635282637998212,1.96517817414371,2.02389005435594
"ett",2016-06-29,"araucaria_heterophylla","ah_200","ah_200-araucaria_heterophylla",200,98.43,114.51,4.114,404.94102,2.60739177246442,2.30102999566398,0.614264287358705,1.99312748510571,2.05884341466876
"ett",2016-06-29,"araucaria_heterophylla","ah_200","ah_200-araucaria_heterophylla",200,91.37,113.315,4.348,397.27676,2.59909316032603,2.30102999566398,0.638289535414257,1.96080362491177,2.05428740312058
"ett",2016-06-29,"araucaria_heterophylla","ah_200","ah_200-araucaria_heterophylla",200,96.13,119.485,4.519,434.41147,2.63790128364328,2.30102999566398,0.655042341331202,1.98285894231208,2.07731338791079
"ett",2016-06-29,"araucaria_heterophylla","ah_100","ah_100-araucaria_heterophylla",100,57.065,66.28,3.25,185.46125,2.26825318258096,2,0.511883360978874,1.75636982160208,1.8213824997473
"ett",2016-06-29,"araucaria_heterophylla","ah_100","ah_100-araucaria_heterophylla",100,58.56,74.31,3.341,195.64896,2.29147754368847,2,0.523876475638131,1.76760106805034,1.8710472613055
"ett",2016-06-29,"araucaria_heterophylla","ah_100","ah_100-araucaria_heterophylla",100,64.89,74.71,3.414,221.53446,2.34544129093747,2,0.533263516778715,1.81217777415875,1.87337873640914
"ett",2016-06-29,"araucaria_heterophylla","ah_100","ah_100-araucaria_heterophylla",100,60.36,72.815,3.623,218.68428,2.33981756513809,2,0.559068334034537,1.78074923110355,1.86222085384865
"ett",2016-06-29,"araucaria_heterophylla","ah_100","ah_100-araucaria_heterophylla",100,58.915,67.805,3.57,210.32655,2.32289409812951,2,0.552668216112193,1.77022588201731,1.83126172030282
"ett",2016-06-29,"araucaria_heterophylla","ah_100","ah_100-araucaria_heterophylla",100,60.09,70.22,3.624,217.76616,2.33799039301801,2,0.559188189004775,1.77880220401324,1.84646082512933
"ett",2016-06-29,"araucaria_heterophylla","ah_100","ah_100-araucaria_heterophylla",100,61.14,73.12,4.344,265.59216,2.42421525097086,2,0.63788981658079,1.78632543439007,1.86403618272577
