"nursery","date","species","batch_id","batch_id2","volume","calliper300","rcd","height_m","sizeindex","logSI","logvol","logH","logD","logRCD"
"flem",2016-06-27,"acer_freemanii_autumnblaze","ara_45","ara_45-acer_freemanii_autumnblaze",45,31.36,35.39,2.945,92.3552,1.96546135313552,1.65321251377534,0.46908529912312,1.4963760540124,1.54888056263751
"flem",2016-06-27,"acer_freemanii_autumnblaze","ara_45","ara_45-acer_freemanii_autumnblaze",45,28.22,34.7,2.873,81.07606,1.90889263541028,1.65321251377534,0.458335625991947,1.45055700941833,1.54032947479087
"flem",2016-06-27,"acer_freemanii_autumnblaze","ara_45","ara_45-acer_freemanii_autumnblaze",45,30.325,34.69,3.012,91.3389,1.96065577706727,1.65321251377534,0.478854967528663,1.48180080953861,1.54020429984206
"flem",2016-06-27,"acer_freemanii_autumnblaze","ara_45","ara_45-acer_freemanii_autumnblaze",45,29.14,33.045,2.99,87.1286,1.9401607357584,1.65321251377534,0.47567118832443,1.46448954743397,1.51910575620645
"flem",2016-06-27,"acer_freemanii_autumnblaze","ara_45","ara_45-acer_freemanii_autumnblaze",45,27.015,35.625,3.102,83.80053,1.9232467653528,1.65321251377534,0.491641793477586,1.43160497187521,1.55175487301657
"flem",2016-06-27,"acer_freemanii_autumnblaze","ara_45","ara_45-acer_freemanii_autumnblaze",45,28.325,33.69,3.087,87.439275,1.94170654801753,1.65321251377534,0.489536629482095,1.45216991853543,1.52750101098112
"flem",2016-06-27,"acer_freemanii_autumnblaze","ara_45","ara_45-acer_freemanii_autumnblaze",45,28.175,33.735,2.589,72.945075,1.86299597515302,1.65321251377534,0.413132050434872,1.44986392471814,1.52808071449131
"flem",2016-06-27,"acer_freemanii_autumnblaze","ara_45","ara_45-acer_freemanii_autumnblaze",45,27.56,32.145,3.196,88.08176,1.94488598387754,1.65321251377534,0.504606770641954,1.44027921323559,1.50711343009751
"flem",2016-06-27,"acer_freemanii_autumnblaze","ara_45","ara_45-acer_freemanii_autumnblaze",45,31.53,37.3,2.502,78.88806,1.89701127610531,1.65321251377534,0.398287305357401,1.4987239707479,1.57170883180869
"flem",2016-06-27,"acer_freemanii_autumnblaze","ara_45","ara_45-acer_freemanii_autumnblaze",45,29.265,34.355,2.975,87.063375,1.93983549851477,1.65321251377534,0.473486970064568,1.4663485284502,1.53598995287693
"flem",2016-06-27,"acer_freemanii_autumnblaze","ara_45","ara_45-acer_freemanii_autumnblaze",45,27.11,32.09,2.447,66.33817,1.82176348693227,1.65321251377534,0.388633969351789,1.43312951758049,1.5063697170955
"flem",2016-06-27,"acer_freemanii_autumnblaze","ara_45","ara_45-acer_freemanii_autumnblaze",45,28.515,35.155,2.854,81.38181,1.91052734469975,1.65321251377534,0.455453968778628,1.45507337592112,1.54598710227137
"flem",2016-06-27,"acer_freemanii_autumnblaze","ara_45","ara_45-acer_freemanii_autumnblaze",45,26.83,31.94,2.88,77.2704,1.88801316043117,1.65321251377534,0.459392487759231,1.42862067267194,1.50433491180246
"flem",2016-06-27,"acer_freemanii_autumnblaze","ara_45","ara_45-acer_freemanii_autumnblaze",45,27.895,32.495,2.698,75.26071,1.87656831108227,1.65321251377534,0.431041945335885,1.44552636574639,1.51181654130309
"flem",2016-06-27,"acer_freemanii_autumnblaze","ara_45","ara_45-acer_freemanii_autumnblaze",45,27.89,30.815,2.743,76.50227,1.88367432187058,1.65321251377534,0.43822580760453,1.44544851426605,1.48876217206669
"flem",2016-06-27,"acer_freemanii_autumnblaze","ara_45","ara_45-acer_freemanii_autumnblaze",45,30.085,34.94,3.243,97.565655,1.98929696450065,1.65321251377534,0.510946948672973,1.47835001582767,1.54332290064691
"flem",2016-06-27,"acer_freemanii_autumnblaze","ara_45","ara_45-acer_freemanii_autumnblaze",45,29.8,36.74,3.145,93.721,1.97183691385754,1.65321251377534,0.497620649781288,1.47421626407626,1.56513915196979
"flem",2016-06-27,"acer_freemanii_autumnblaze","ara_45","ara_45-acer_freemanii_autumnblaze",45,27.885,30.29,2.964,82.65114,1.91724884813487,1.65321251377534,0.471878199307291,1.44537064882758,1.48129927333286
"flem",2016-06-27,"acer_freemanii_autumnblaze","ara_45","ara_45-acer_freemanii_autumnblaze",45,32.165,37.855,3.317,106.691305,2.02812902725587,1.65321251377534,0.520745471519482,1.50738355573639,1.57812325052026
"flem",2016-06-27,"acer_freemanii_autumnblaze","ara_45","ara_45-acer_freemanii_autumnblaze",45,30.52,36.47,3.125,95.375,1.97943455096294,1.65321251377534,0.494850021680094,1.48458452928284,1.56193576331378
"flem",2016-06-27,"acer_freemanii_autumnblaze","ara_45","ara_45-acer_freemanii_autumnblaze",45,30.615,36.49,3.024,92.57976,1.96651605060092,1.65321251377534,0.480581786829169,1.48593426377175,1.56217386336465
"flem",2016-06-27,"acer_freemanii_autumnblaze","ara_45","ara_45-acer_freemanii_autumnblaze",45,30.185,33.025,2.576,77.75656,1.89073703887727,1.65321251377534,0.410945858687775,1.47979118018949,1.51884282628656
"flem",2016-06-27,"acer_freemanii_autumnblaze","ara_45","ara_45-acer_freemanii_autumnblaze",45,31.685,36.75,3.078,97.52643,1.98912232695672,1.65321251377534,0.48826861549546,1.50085371146126,1.56525734342021
"flem",2016-06-27,"acer_freemanii_autumnblaze","ara_45","ara_45-acer_freemanii_autumnblaze",45,33.335,39.805,3.216,107.20536,2.030216499538,1.65321251377534,0.507316040076414,1.52290045946158,1.59993762825514
"flem",2016-06-27,"acer_freemanii_autumnblaze","ara_45","ara_45-acer_freemanii_autumnblaze",45,33.6,38.52,2.836,95.2896,1.97904550390087,1.65321251377534,0.452706226511029,1.52633927738984,1.5856862784525
"flem",2016-06-27,"acer_freemanii_autumnblaze","ara_45","ara_45-acer_freemanii_autumnblaze",45,38.64,46.99,2.791,107.84424,2.03279695423209,1.65321251377534,0.445759836488631,1.58703711774346,1.67200544502295
"flem",2016-06-27,"acer_freemanii_autumnblaze","ara_45","ara_45-acer_freemanii_autumnblaze",45,29.855,35.21,2.555,76.279525,1.88240797998853,1.65321251377534,0.407390904470732,1.4750170755178,1.54666602507018
"flem",2016-06-27,"acer_freemanii_autumnblaze","ara_45","ara_45-acer_freemanii_autumnblaze",45,32.255,37.065,3.014,97.21657,1.98774029420868,1.65321251377534,0.479143247978613,1.50859704623007,1.56896400445776
"flem",2016-06-27,"acer_freemanii_autumnblaze","ara_45","ara_45-acer_freemanii_autumnblaze",45,30.705,35.995,2.989,91.777245,1.96273501675747,1.65321251377534,0.475525915039281,1.48720910171819,1.55624217790006
"flem",2016-06-27,"acer_freemanii_autumnblaze","ara_45","ara_45-acer_freemanii_autumnblaze",45,32.085,36.43,3.001,96.287085,1.98356803905206,1.65321251377534,0.477265995424853,1.50630204362721,1.56145917124192
"flem",2016-06-27,"acer_freemanii_autumnblaze","ara_45","ara_45-acer_freemanii_autumnblaze",45,31.135,34.24,2.994,93.21819,1.96950066606445,1.65321251377534,0.476251796007033,1.49324887005742,1.53453375600512
"flem",2016-06-27,"acer_freemanii_autumnblaze","ara_45","ara_45-acer_freemanii_autumnblaze",45,32.85,36.345,2.559,84.06315,1.92460565978299,1.65321251377534,0.408070285887185,1.5165353738958,1.56044467319319
"flem",2016-06-27,"acer_freemanii_autumnblaze","ara_45","ara_45-acer_freemanii_autumnblaze",45,34.75,38.59,2.705,93.99875,1.97312207836872,1.65321251377534,0.432167269442588,1.54095480892613,1.5864747785714
"flem",2016-06-27,"acer_freemanii_autumnblaze","ara_45","ara_45-acer_freemanii_autumnblaze",45,30.86,36.52,3.02,93.1972,1.96940286468428,1.65321251377534,0.480006942957151,1.48939592172713,1.56253076886226
"flem",2016-06-27,"acer_freemanii_autumnblaze","ara_45","ara_45-acer_freemanii_autumnblaze",45,32.98,39.765,2.956,97.48888,1.98895508103129,1.65321251377534,0.470704429722788,1.5182506513085,1.59950098678877
"flem",2016-06-27,"acer_freemanii_autumnblaze","ara_45","ara_45-acer_freemanii_autumnblaze",45,34.805,37.83,3.056,106.36408,2.02679498800046,1.65321251377534,0.485153349903652,1.54164163809681,1.57783634129274
"flem",2016-06-27,"acer_freemanii_autumnblaze","ara_45","ara_45-acer_freemanii_autumnblaze",45,31.5,37.465,2.824,88.956,1.94917524616937,1.65321251377534,0.450864692379766,1.4983105537896,1.57362573693412
"flem",2016-06-27,"acer_freemanii_autumnblaze","ara_45","ara_45-acer_freemanii_autumnblaze",45,35.895,40.28,2.733,98.101035,1.99167358936178,1.65321251377534,0.436639631692661,1.55503395766912,1.60508946188158
