species,batch_id,volume,treenumb,canopy_top,canopy_bottom,branchper30,maxbranchradius,leafarea1,leafarea2,leafarea3,leafmass1,leafmass2,leafmass3
acer_rubrum_octoberglory,arog_100,100,1,398,61,7,86,,,,,,
acer_rubrum_octoberglory,arog_100,100,2,430.7,56,5,72,,,,,,
acer_rubrum_octoberglory,arog_100,100,3,369.9,57,6,74,,,,,,
acer_rubrum_octoberglory,arog_100,100,4,420.5,57,5,69,,,,,,
acer_rubrum_octoberglory,arog_100,100,5,438.3,38,3,76,,,,,,
acer_rubrum_octoberglory,arog_100,100,6,444.1,60,6,65,,,,,,
acer_rubrum_octoberglory,arog_100,100,7,403,53,6,64,,,,,,
acer_rubrum_octoberglory,arog_100,100,8,372.3,56,6,80,,,,,,
acer_rubrum_octoberglory,arog_100,100,9,439.9,55,6,75,,,,,,
acer_rubrum_octoberglory,arog_100,100,10,447.9,50,6,87,,,,,,
acer_rubrum_octoberglory,arog_40cm,35,1,267.6,12.4,4,46.8,,,,,,
acer_rubrum_octoberglory,arog_40cm,35,2,255.3,9.6,7,38.5,,,,,,
acer_rubrum_octoberglory,arog_40cm,35,3,285.4,27.7,7,34,,,,,,
acer_rubrum_octoberglory,arog_40cm,35,4,256.2,4.8,4,36.3,,,,,,
acer_rubrum_octoberglory,arog_40cm,35,5,244.7,12.1,8,36,,,,,,
acer_rubrum_octoberglory,arog_40cm,35,6,261.3,7.9,4,46.7,,,,,,
acer_rubrum_octoberglory,arog_40cm,35,7,258.7,22.5,7,40.7,,,,,,
acer_rubrum_octoberglory,arog_40cm,35,8,271.8,25.9,6,29.6,,,,,,
acer_rubrum_octoberglory,arog_40cm,35,9,234.2,14.8,8,67.1,,,,,,
acer_rubrum_octoberglory,arog_40cm,35,10,241.7,15.4,7,56,,,,,,
acer_rubrum_octoberglory,arog_150,150,1,522.7,41,7,90,,,,,,
acer_rubrum_octoberglory,arog_150,150,2,505.7,46,4,93,,,,,,
angophora_costata,ac_100,100,1,317.9,47,4,119,19.3,13.9,21.9,0.28,0.2,0.33
angophora_costata,ac_100,100,2,346.4,43,7,77,19.1,19,12.6,0.31,0.29,0.18
angophora_costata,ac_100,100,3,364.2,64,4,98,28,33.1,32.2,0.5,0.58,0.51
angophora_costata,ac_100,100,4,400.8,36,5,94,27.6,18.7,13.4,0.43,0.28,0.19
angophora_costata,ac_100,100,5,377.1,38,7,82,26.5,21.7,30.7,0.39,0.32,0.45
angophora_costata,ac_100,100,6,379.9,47,14,85,15.1,18,18.5,0.24,0.32,0.31
angophora_costata,ac_100,100,7,420.1,40,5,70,42.9,25.1,32.6,0.53,0.28,0.4
angophora_costata,ac_100,100,8,399,33,4,91,25.4,19.9,13.6,0.33,0.4,0.21
angophora_costata,ac_100,100,9,348.5,43,4,102,35.9,28.9,28.3,0.42,0.35,0.37
angophora_costata,ac_100,100,10,435.2,44,2,95,46.6,35.4,30.3,0.6,0.44,0.38
banksia_integrifolia,bi_40cm,35,1,179.2,13.1,1,40.2,22.3,15.5,20.6,0.45,0.32,0.45
banksia_integrifolia,bi_40cm,35,2,163.4,89.2,3,30.5,14.9,12.4,19.1,0.32,0.27,0.4
banksia_integrifolia,bi_40cm,35,3,210.3,13.9,6,35.8,14.8,15.5,12.4,0.27,0.3,0.2
banksia_integrifolia,bi_40cm,35,4,257,17.8,5,49.2,11.5,12.7,11.8,0.21,0.25,0.23
banksia_integrifolia,bi_40cm,35,5,173.5,13.1,9,31.9,14.7,14.4,20.2,0.39,0.31,0.42
banksia_integrifolia,bi_40cm,35,6,169.6,14.7,4,24,14,14.6,8.1,0.28,0.24,0.13
banksia_integrifolia,bi_40cm,35,7,188.7,3.9,1,42.8,15.4,12.9,13.1,0.26,0.25,0.22
banksia_integrifolia,bi_40cm,35,8,184.7,30.2,2,37.1,17.8,17.8,8.5,0.3,0.36,0.15
banksia_integrifolia,bi_40cm,35,9,165.5,97.3,7,46.4,20.7,19.2,15.4,0.34,0.35,0.25
banksia_integrifolia,bi_40cm,35,10,181,100.5,5,33.2,15.7,12.1,14.9,0.24,0.19,0.21
banksia_integrifolia,bi_50,50,1,122.1,8,6,37,19.1,15.2,13.1,0.38,0.29,0.29
banksia_integrifolia,bi_50,50,2,105.1,8,10,38,19,23.8,18.3,0.37,0.47,0.39
banksia_integrifolia,bi_50,50,3,159.1,2,11,40,11.2,15.6,14.7,0.22,0.33,0.32
banksia_integrifolia,bi_50,50,4,135,2,6,41,14,15.5,12.7,0.24,0.27,0.22
banksia_integrifolia,bi_50,50,5,126.4,1,8,36,23.6,13.2,24,0.45,0.2,0.49
banksia_integrifolia,bi_50,50,6,128.9,26,5,35,10.8,8.3,18.4,0.15,0.13,0.32
banksia_integrifolia,bi_50,50,7,182.7,5,4,34,13.8,18.5,16.9,0.22,0.35,0.32
banksia_integrifolia,bi_50,50,8,183.5,9,2,52,7.2,11.4,9.1,0.13,0.18,0.15
banksia_integrifolia,bi_50,50,9,117,1,8,32,14.4,16.5,19,0.22,0.29,0.32
banksia_integrifolia,bi_50,50,10,129.8,8,6,40,15.9,18.4,43.2,0.21,0.24,0.75
brachychiton_acerifolius,ba_50,50,1,251,67,2,52,82.6,70,69.1,0.83,0.68,0.76
brachychiton_acerifolius,ba_50,50,2,243.5,89,2,51,89.5,56.8,143.2,1.29,0.76,2.16
brachychiton_acerifolius_bellapink,bab_100,100,1,275.1,81,12,57,25.56,30.67,32.49,0.5,0.54,0.56
brachychiton_acerifolius_bellapink,bab_100,100,2,293.2,65,7,68,21.81,38.54,39.21,0.32,0.72,0.69
brachychiton_acerifolius_bellapink,bab_100,100,3,301.8,54,4,68,38.82,28.02,25.3,0.52,0.44,0.4
brachychiton_acerifolius_bellapink,bab_100,100,4,281.7,50,7,58,27.35,22.13,37.18,0.39,0.43,0.66
brachychiton_acerifolius_bellapink,bab_100,100,5,296.3,57,3,57,66.77,29.63,31.4,0.53,0.52,0.59
brachychiton_acerifolius_bellapink,bab_100,100,6,299.1,73,10,59,33.21,32.83,37.2,0.5,0.49,0.63
brachychiton_acerifolius_bellapink,bab_100,100,7,276.7,52,7,55,21.6,24.61,27.3,0.37,0.37,0.39
brachychiton_acerifolius_jerilderiered,baj_50,50,1,136.9,27,10,40,36.6,21.4,20.9,0.51,0.33,0.31
brachychiton_acerifolius_jerilderiered,baj_50,50,2,120.1,20,6,43,19.3,25.8,27.8,0.27,0.38,0.4
brachychiton_acerifolius_jerilderiered,baj_50,50,3,125.9,22,7,51,62.5,30.4,32.9,0.88,0.43,0.42
brachychiton_acerifolius_jerilderiered,baj_50,50,4,126,14,9,37,23.2,25.5,29.6,0.23,0.31,0.36
brachychiton_acerifolius_jerilderiered,baj_50,50,5,144.5,27,8,44,37.8,32.6,34.5,0.43,0.36,0.49
brachychiton_acerifolius_jerilderiered,baj_50,50,6,116.7,25,10,59,32.5,35.6,30.1,0.39,0.48,0.38
brachychiton_acerifolius_jerilderiered,baj_50,50,7,114.2,20,10,45,32.7,35.6,19.4,0.44,0.6,0.29
corymbia_ficifolia,cf_40cm,35,1,128.2,12,4,50,18.8,32.6,47.8,0.31,0.53,0.78
corymbia_ficifolia,cf_40cm,35,2,160.4,14,3,35,33.8,33.8,40.7,0.6,0.7,0.69
corymbia_ficifolia,cf_40cm,35,3,165.6,14,4,48,38.2,59.6,37.1,0.55,0.8,0.63
corymbia_ficifolia,cf_40cm,35,4,140.2,11,6,58,30.5,27.1,23.9,0.56,0.59,0.46
corymbia_ficifolia,cf_40cm,35,5,202.4,21,7,60,22.6,49.8,60.7,0.44,0.94,1.09
corymbia_ficifolia,cf_40cm,35,6,161.2,7,6,46,71.2,42,53.8,1.75,0.91,1.17
corymbia_ficifolia,cf_40cm,35,7,92.7,10,7,36,37.8,40.2,25.3,0.85,0.78,0.41
corymbia_ficifolia,cf_40cm,35,8,145.1,18,5,57,71.4,32.9,48.9,1.53,0.71,1.08
corymbia_ficifolia,cf_40cm,35,9,120.5,23,6,55,33.2,63.3,55.4,0.67,1.41,1.16
corymbia_ficifolia,cf_40cm,35,10,108.8,1,10,43,35.7,31.9,32.9,0.81,0.64,0.64
corymbia_maculata,cm_100,100,1,266,83,3,72,9.5,6.4,10.2,0.18,0.11,0.18
corymbia_maculata,cm_100,100,2,260.7,56,4,72,13,17,16,0.23,0.3,0.31
corymbia_maculata,cm_100,100,3,437.3,33,5,82,31.5,21.9,47.9,0.64,0.41,0.96
corymbia_maculata,cm_100,100,4,392.5,24,3,87,32.5,21.9,30.2,0.44,0.39,0.41
corymbia_maculata,cm_100,100,5,487.1,39,3,77,41.9,29.9,42.1,0.73,0.47,0.7
corymbia_maculata,cm_100,100,6,467,48,6,77,23.2,31.8,26.6,0.36,0.5,0.39
corymbia_maculata,cm_100,100,7,493.4,43,7,80,31.9,42.3,18.1,0.51,0.77,0.26
corymbia_maculata,cm_100,100,8,456.5,44,3,104,36,51.1,24.2,0.62,1,0.41
corymbia_maculata,cm_100,100,9,404.2,35,7,90,21.9,22.7,15.2,0.26,0.3,0.17
corymbia_maculata,cm_100,100,10,431.4,38,3,75,23.1,28.3,29.2,0.36,0.45,0.46
corymbia_maculata,cm_50,50,1,224,22,9,50,28.01,51.6,43.25,0.47,0.89,0.76
corymbia_maculata,cm_50,50,2,290.1,4,4,58,44,39.55,19.74,0.59,0.51,0.28
corymbia_maculata,cm_50,50,3,245.7,28,8,56,51.49,35.06,43.26,0.82,0.63,0.76
corymbia_maculata,cm_50,50,4,280.7,8,6,56,40.61,24.26,48.5,0.685,0.32,0.93
corymbia_maculata,cm_50,50,5,267.3,14,3,55,40.38,29.39,33.99,0.67,0.39,0.56
corymbia_maculata,cm_50,50,6,258.8,23,6,59,44.29,62.79,57.52,0.7,1.14,1.13
corymbia_maculata,cm_50,50,7,280.8,22,7,64,27.01,39.7,48.88,0.43,0.57,0.88
corymbia_maculata,cm_50,50,8,275.9,29,6,62,40.41,52.05,58.51,0.64,0.83,0.89
corymbia_maculata,cm_50,50,9,276.2,31,5,61,36.09,40.79,46.5,0.67,0.74,0.91
corymbia_maculata,cm_50,50,10,281.7,25,8,62,26.6,27.98,41.26,0.34,0.35,0.52
corymbia_ficifolia,cf_50,50,1,185.9,9,7,49,43.35,35.46,57.45,0.86,0.79,1.33
corymbia_ficifolia,cf_50,50,2,252.6,19,3,54,27.82,42.13,56.3,0.54,0.87,1.14
corymbia_ficifolia,cf_50,50,3,262.5,16,7,55,41.9,29.75,37.7,0.79,0.57,0.75
corymbia_ficifolia,cf_50,50,4,245.7,26,4,63,38.07,25.31,20.34,0.64,0.44,0.37
corymbia_ficifolia,cf_50,50,5,176.4,19,6,66,36.23,28.51,37.41,0.7,0.58,0.74
corymbia_ficifolia,cf_50,50,6,241.2,27,8,50,32.22,37.83,34.55,0.52,0.58,0.61
corymbia_ficifolia,cf_50,50,7,246.3,6,5,40,46.99,35.91,57.24,0.9,0.7,1.14
corymbia_ficifolia,cf_50,50,8,220.4,12,5,62,30.92,51.69,49.81,0.57,1.03,1.1
corymbia_ficifolia,cf_50,50,9,295.1,7,8,67,37.41,61.63,48.02,0.58,1.17,0.85
corymbia_ficifolia,cf_50,50,10,201.6,13,6,50,37.48,37.02,53.52,0.48,0.53,0.95
